Store,Dept,Date,pred
36,85,2012-11-02,136.32943735407574
9,51,2012-11-02,173.76516142906124
33,36,2012-11-02,100.77303077510676
2,39,2012-11-02,77.59832372073245
9,93,2012-11-02,211.11095465156836
6,51,2012-11-02,202.4827994083562
39,78,2012-11-02,89.85473287342647
2,51,2012-11-02,17.150041906690973
40,78,2012-11-02,100.69534605572387
21,78,2012-11-02,107.37543682787563
26,78,2012-11-02,99.74629547940728
22,78,2012-11-02,131.80976013598365
29,78,2012-11-02,80.05702617960465
3,47,2012-11-02,97.09416854440506
24,78,2012-11-02,141.32552045529752
44,99,2012-11-02,63.15585899613259
4,78,2012-11-02,84.5902747997278
28,43,2012-11-02,57.88364319972313
18,99,2012-11-02,78.60762021778795
21,48,2012-11-02,26.1129721114383
1,51,2012-11-02,73.14994123944925
36,41,2012-11-02,146.98916553206422
5,51,2012-11-02,158.72122823763283
10,51,2012-11-02,178.25721618796604
15,48,2012-11-02,308.7915189517959
29,45,2012-11-02,141.39759042970206
3,45,2012-11-02,24.16165546942488
40,19,2012-11-02,57.87537634033976
21,51,2012-11-02,96.2568807830699
19,45,2012-11-02,78.69068943236338
21,45,2012-11-02,180.63796476304142
20,51,2012-11-02,180.63796476304142
11,50,2012-11-02,101.74925048782775
12,51,2012-11-02,29.174699590485243
30,34,2012-11-02,74.872976678037
9,97,2012-11-02,117.51645081000721
35,45,2012-11-02,66.14773172971019
34,58,2012-11-02,991.0443967482648
45,78,2012-11-02,87.9737046285081
43,24,2012-11-02,50.061023326536116
15,43,2012-11-02,39.10837818817993
37,41,2012-11-02,50.061023326536116
43,27,2012-11-02,125.81525329709042
5,80,2012-11-02,21.884895704992648
42,6,2012-11-02,83.15947990125319
13,78,2012-11-02,103.24883186206524
26,51,2012-11-02,120.58902229445826
30,27,2012-11-02,103.53276559163037
27,51,2012-11-02,120.58902229445826
32,51,2012-11-02,103.53276559163037
24,51,2012-11-02,128.21816364292664
45,51,2012-11-02,103.53276559163037
1,78,2012-11-02,57.69957288274333
18,51,2012-11-02,97.865685146414
33,6,2012-11-02,109.6883578135644
31,51,2012-11-02,73.18028709511769
28,51,2012-11-02,98.84838381042779
14,45,2012-11-02,106.47752515889614
23,78,2012-11-02,117.31118594910538
41,37,2012-11-02,65.55845199272635
10,78,2012-11-02,113.66743366617548
33,34,2012-11-02,187.58543682057928
16,78,2012-11-02,26.1129721114383
29,48,2012-11-02,79.42613122184416
11,48,2012-11-02,108.04050682669195
15,45,2012-11-02,178.25721618796604
33,35,2012-11-02,146.98916553206422
30,24,2012-11-02,146.98916553206422
26,50,2012-11-02,166.4957639559192
25,51,2012-11-02,166.4957639559192
3,77,2012-11-02,1877.5043526499676
6,45,2012-11-02,209.55691090708976
7,19,2012-11-02,148.61779281924353
33,72,2012-11-02,178.84568470949773
9,77,2012-11-02,97.94413929823956
25,77,2012-11-02,239.9227307028428
16,77,2012-11-02,112.03324602691787
34,77,2012-11-02,122.3277476167701
8,77,2012-11-02,353.81625440606626
2,77,2012-11-02,197.96547710635122
15,51,2012-11-02,177.64421009099075
23,48,2012-11-02,114.93883099625565
40,77,2012-11-02,178.41772375424605
18,77,2012-11-02,62.436547147246536
21,77,2012-11-02,322.6468732309015
19,77,2012-11-02,922.7484044199996
22,51,2012-11-02,269.9571467922758
23,51,2012-11-02,269.9571467922758
5,77,2012-11-02,34.87443056982736
14,78,2012-11-02,85.0162139407657
29,77,2012-11-02,18.581012972541682
33,56,2012-11-02,-123.09733502562827
36,56,2012-11-02,-123.09733502562827
42,41,2012-11-02,64.40880254784166
19,51,2012-11-02,42.82021253176234
20,78,2012-11-02,68.36066213211512
17,78,2012-11-02,41.07461772993079
25,19,2012-11-02,28.657644975792056
42,55,2012-11-02,64.40880254784166
19,48,2012-11-02,411.64000228627793
1,77,2012-11-02,347.07592229712816
7,77,2012-11-02,183.51918994607755
